system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00056] PathFindOnPath found: C:\Windows\system32\d3d9.dll
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17548] Decoding visual no. 13...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17555] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17558] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17559] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17561] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17563] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17565] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17567] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17569] Samples: 0
display  D   display_settings.c:486  _al_score_display_settings       [   0.17571] Score is : 1987
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17572] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17574] Decoding visual no. 14...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17582] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17584] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17586] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17587] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17589] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17591] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17593] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17597] Samples: 0
display  D   display_settings.c:486  _al_score_display_settings       [   0.17599] Score is : 1987
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17601] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17602] Decoding visual no. 15...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17610] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17612] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17614] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17616] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17617] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17619] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17621] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17623] Samples: 0
display  D   display_settings.c:486  _al_score_display_settings       [   0.17624] Score is : 1987
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17626] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17627] Decoding visual no. 16...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17635] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17638] Accelarated: yes
